"comune","provincia","denominazione","tipologia funzionale","denominazione ente","OBR","Sistema bibliotecario","indirizzo","frazione","cap","latitudine","longitudine","telefono","fax","email","url"
"Roma","Roma","Biblioteca dell'Opera pia collegio Nazareno","Importante non specializzata","Opera pia collegio Nazareno",,,"Largo del Nazareno 25",,"00187","41.9028935","12.4833837","+39 066790771","+39 066794308",,
"Roma","Roma","Biblioteca del Collegio teutonico di S. Maria dell'anima","Specializzata","Pontificio Istituto teutonico di S. Maria dell'anima",,,"Via della Pace 20",,"00186","41.8994444","12.4708558","+39 066833729",,,
"Roma","Roma","Biblioteca del Goethe Institut","Specializzata","Goethe Institut",,,"Via Savoia 15",,"00198","41.9132109","12.4996124","+39 0688440051","+39 068411628","bibl@rom.goethe.org","http://www.goethe.de/rom"
"Roma","Roma","Biblioteca della Banca nazionale del lavoro","Specializzata","Banca nazionale del lavoro",,,"Via S. Basilio 48",,"00199","41.9053072","12.4901515","+39 0647028492","+39 0647028326",,
"Roma","Roma","Biblioteca dell'Accademia belgica","Specializzata","Accademia belgica",,,"Via Omero 8",,"00197","41.916597","12.4792741","+39 063201889","+39 063202361","biblioteca@academiabelgica.it","http://www.academiabelgica.it"
"Roma","Roma","Biblioteca dell'Accademia americana","Specializzata","Accademia americana",,,"Via A. Masina 5",,"00153","41.8880035","12.4630596","+39 065846419","+39 065810788","info@aarome.org","http://www.aarome.org"
"Roma","Roma","Biblioteca della British school","Specializzata","The British school at Rome",,,"Via A. Gramsci 61",,"00197","41.9197869","12.4787028","+39 0632649388","+39 063221201","bsrlib@librsbk.vatlib.it",
"Roma","Roma","Biblioteca dell'Accademia di belle arti della Repubblica araba di Egitto","Importante non specializzata","Accademia di belle arti della Repubblica araba di Egitto",,,"Via Omero 4",,"00197","41.9163341","12.4798819","+39 063201907","+39 063201897","info@accademiaegitto.it","http://www.accademiaegitto.org"
"Roma","Roma","Biblioteca dell'Accademia di Danimarca","Specializzata","Accademia di Danimarca",,,"Via Omero 18",,"00197","41.9168668","12.4787344","+39 063200951","+39 063200953",,
"Roma","Roma","Biblioteca dell'Accademia d'Ungheria","Specializzata","Accademia d'Ungheria",,,"Via Giulia 1",,"00186","41.8945868","12.4696206","+39 0668308541","+39 0668805292",,
"Roma","Roma","Biblioteca dell'Accademia spagnola di storia, archeologia e belle arti","Specializzata","Accademia spagnola di storia, archeologia e belle arti",,,"Piazza S. Pietro in Montorio 3",,"00153","41.8888413","12.4668382","+39 065812806","+39 065818049",,
"Roma","Roma","Biblioteca Luciano Lama","Specializzata","CGIL - Confederazione generale italiana del lavoro",,,"Via dei Frentani 4 c",,"00185","41.9005469","12.509004","+39 064453322","+39 064453382","archbiblio@cgil.it",
"Roma","Roma","Biblioteca Keats Shelley memorial library","Specializzata","Keats-Shelley House",,,"Piazza di Spagna 26",,"00187","41.9057634","12.4823161","+39 066784235","+39 066784167","ksnhrome@tin.it","http://www.keats-shelley-house.org"
"Roma","Roma","Biblioteca della Pontificia Facoltà teologica S. Bonaventura","Specializzata","Frati minori conventuali. Pontificia Facoltà teologia S. Bonaventura",,,"Via del Serafico 1",,"00142","41.8294819","12.4823936","+39 065192067",,,"http://www.seraphicum.edu/site/"
"Roma","Roma","Biblioteca della Pontificia Università Gregoriana","Specializzata","Pontificia Università Gregoriana",,,"Piazza della Pilotta 4",,"00187","41.8990006","12.4843464","+39 0667015131","+39 0667015128",,"http://www.unigre.it/newbiblio/"
"Roma","Roma","Biblioteca della Pontificia Università S. Tommaso d'Aquino","Specializzata","Domenicani. Pontificia Università S. Tommaso d'Aquino",,,"Largo Angelicum 1",,"00184","41.8960807","12.4871071","+39 066702348","+39 066702270","manager@mvang.urbe.it","http://www.angelicum.org"
"Roma","Roma","Biblioteca della Ecole française","Specializzata","Ecole française de Rome",,,"Piazza Farnese 67",,"00186","41.8950723","12.4708635","+39 06686011","+39 0668601266","bibliefr@librs6k.vatlib.it",
"Roma","Roma","Biblioteca dell'Institutum romanum Finlandiae","Specializzata","Istitutum romanum Finlandiae",,,"Passeggiata del Gianicolo 10",,"00165","41.8932952","12.4603266","+39 0668801674","+39 0668802349",,
"Roma","Roma","Biblioteca dell'Istituto archeologico germanico","Specializzata","Deutsches Archaeologisches Institut Rom",,,"Via Sardegna 70",,"00187","41.9095828","12.491896","+39 064888141","+39 064888141","dairbibl@librs6k.vatlib.it","http://www.dainst.de/abt/ram.html"
"Roma","Roma","Biblioteca dell'Istituto dermopatico dell'Immacolata","Specializzata","Congregazione Figli Immacolata Concezione",,,"Via dei Monti di Creta 104",,"00167","41.9015317","12.428377","+39 0666464610",,"biblioteca@idi.it","http://www.idi.it"
"Roma","Roma","Biblioteca dell'Istituto di Norvegia di archeologia e storia dell'arte","Specializzata","Istituto di Norvegia in Roma di archeologia e storia dell'arte",,,"Viale XXX aprile 33",,"00153","41.887177","12.463621","+39 0658391005","+39 065880604","l.r.skrindo@roma.uio.no",
"Roma","Roma","Biblioteca dell'Istituto italiano di studi cooperativi Luigi Luzzatti","Specializzata","Istituto italiano di studi cooperativi Luigi Luzzatti",,,"Via Nazionale 230",,"00197","41.9008565","12.4934191","+39 064872888","+39 064872260",,
"Roma","Roma","Biblioteca dell'Istituto nazionale per il commercio estero","Specializzata","Istituto nazionale per il commercio estero",,,"Via F. Liszt 21",,"00144","41.8339561","12.4672521","+39 0659929235","+39 0659926790",,
"Roma","Roma","Biblioteca dell'Istituto olandese","Specializzata","Istituto olandese di Roma",,,"Via Omero 10/12",,"00197","41.9167669","12.4788282","+39 063200751","+39 063204971","librarian@nir.roma.it","http://www.nir-roma.it"
"Roma","Roma","Biblioteca dell'Istituto giapponese di cultura","Specializzata","Istituto giapponese di cultura",,,"Via A. Gramsci 74",,"00197","41.9185129","12.4800488","+39 063224707","+39 063222165","jpbibl@jfroma.it",
"Roma","Roma","Biblioteca dell'Istituto portoghese S. Antonio","Specializzata","Istituto portoghese S. Antonio",,,"Via dei Portoghesi 2",,"00186","41.9017382","12.4744886","+39 0668802496","+39 066865234",,
"Roma","Roma","Biblioteca dell'Istituto di ricerche economico sociali Placido Martini","Specializzata","Istituto di ricerche economico sociali Placido Martini",,,"Piazza dell'Aracoeli 12",,"00186","41.8943867","12.4809177","+39 066792623","+39 066792628",,
"Roma","Roma","Biblioteca dell'Istituto storico germanico","Specializzata","Deutsches Historisches Institut in Rom",,,"Via Aurelia antica 391",,"00165","41.891286","12.42772","+39 06660492","+39 066623838","bibliothek@dhi-roma","http://www.dhi-roma.it"
"Roma","Roma","Biblioteca dell'Istituto svedese di studi classici","Specializzata","Istituto svedese di studi classici",,,"Via Omero 14",,"00197","41.9168114","12.4788269","+39 063201596","+39 063230265","bellerba@librs6k.vatlib.it",
"Roma","Roma","Biblioteca dell'Istituto svizzero","Specializzata","Istituto svizzero di Roma",,,"Via Ludovisi 48",,"00187","41.9067598","12.487721","+39 0648904071","+39 0648904076",,
"Roma","Roma","Biblioteca del Pontificio Ateneo Antonianum","Specializzata","Frati minori OFM. Pontificio Ateneo Antonianum",,,"Via Merulana 124 - Viale Manzoni 3",,"00185","41.8896683","12.5044715","+39 0670373571","+39 0670373400","ant@muant.urbe.it",
"Roma","Roma","Biblioteca della Badia primaziale S. Anselmo","Specializzata","Benedettini Badia primaziale S. Anselmo",,,"Piazza Cavalieri di Malta 5",,"00153","41.882814","12.478643","+39 065791357","+39 065791373",,
"Roma","Roma","Biblioteca del Museo nazionale di Castel S. Angelo","Specializzata","Ministero dei beni e delle attività culturali e del turismo. Museo nazionale di Castel S. Angelo",,,"Lungotevere Castello 50",,"00193","41.902583","12.4673801","+39 0668191124","+39 0668191196",,
"Roma","Roma","Biblioteca don Bosco","Specializzata","Salesiani. Università Pontificia salesiana",,,"Piazza dell'Ateneo salesiano 1",,"00139","41.9596329","12.5219859","+39 0687290402","+39 0687290662",,
"Roma","Roma","Biblioteca del Pontificio Collegio armeno","Specializzata","Pontificio Collegio armeno",,,"Via S. Nicola da Tolentino 17",,"00187","41.9048024","12.4909","+39 064824883","+39 064870830",,
"Roma","Roma","Biblioteca del Pontificio Collegio canadese","Specializzata","Pontificio Collegio canadese",,,"Via Crescenzio 75",,"00193","41.9058225","12.4622145","+39 066877997","+39 06686845",,
"Roma","Roma","Biblioteca del Pontificio Collegio croato S. Girolamo","Specializzata","Pontificio Collegio croato S. Girolamo",,,"Via Tomacelli 132",,"00186","41.9048463","12.4763211","+39 066878223",,,
"Roma","Roma","Biblioteca del Pontificio Collegio germanico-ungarico","Specializzata","Pontificio Collegio germanico-ungarico",,,"Via S. Nicola da Tolentino 13",,"00187","41.9051296","12.4916709","+39 064819333","+39 0667018288",,
"Roma","Roma","Biblioteca del Pontificio Collegio greco S. Atanasio","Specializzata","Pontificio Collegio greco S. Atanasio",,,"Via del babuino 149",,"00187","41.9084567","12.47896","+39 0636001260",,,
"Roma","Roma","Biblioteca del Pontificio Collegio pio latino americano","Specializzata","Pontificio Collegio pio latino americano",,,"Via Aurelia antica 408",,"00165","41.8902238","12.4258194","+39 066624641",,,
"Roma","Roma","Biblioteca del Pontificio Collegio scozzese","Specializzata","Pontificio Collegio scozzese",,,"Via Cassia 481",,"00189","41.9581685","12.4543327","+39 063312203","+39 063312209",,
"Roma","Roma","Biblioteca del Pontificio Collegio spagnolo S. José","Specializzata","Pontificio Collegio spagnolo S. José",,,"Via di Torre Rossa 2",,"00165","41.8945893","12.4289183","+39 066620990","+39 066621119",,
"Roma","Roma","Biblioteca del Pontificio Istituto di studi arabi e d'islamistica","Specializzata","Pontificio Istituto di studi arabi e d'islamistica",,,"Viale Trastevere 89",,"00153","41.8871756","12.4726768","+39 0658392611","+39 0658392611","pisai@flashnet.it","http://www.a-vip.com/pisai"
"Roma","Roma","Biblioteca del Pontificio Istituto Regina mundi","Specializzata","Pontificio Istituto Regina mundi",,,"Lungotevere Tor di Nona 7",,"00185","41.9012675","12.4676152","+39 0668806924",,,
"Roma","Roma","Biblioteca del Pontificio Seminario francese","Specializzata","Pontificio Seminario francese",,,"Via S. Chiara 42",,"00186","41.8975841","12.4768741","+39 066832501",,,
"Roma","Roma","Biblioteca del Teresianum","Specializzata","Carmelitani scalzi. Pontificia Facoltà teologica e Pontificio Istituto di spiritualità Teresianum",,,"Piazza S. Pancrazio 5/A",,"00152","41.8848131","12.4555137","+39 06585401","+39 0658540241",,
"Roma","Roma","Biblioteca del Venerabile Collegio inglese","Specializzata","Venerabile Collegio inglese",,,"Via Monserrato 45",,"00186","41.8955666","12.4699377","+39 066868546",,,
"Roma","Roma","Biblioteca Hertziana","Specializzata","Max Planck Institut",,,"Via Gregoriana 28",,"00187","41.9060047","12.4834182","+39 06699931","+39 0669993333","info@biblhertz.it","http://www.biblhertz.it"
"Roma","Roma","Biblioteca della FAO","Specializzata","Food and agricolture organization of the United Nations",,,"Viale Terme di Caracalla",,"00153","41.8792066","12.4952115","+39 0652253784","+39 0652252002",,
"Roma","Roma","Biblioteca Gogol","Specializzata","Associazione Gogol",,,"Via Palestro 69",,"00185","41.904035","12.5053219",,,,
"Roma","Roma","Biblioteca del Ministero delle politiche agricole, alimentari e forestali","Importante non specializzata","Ministero delle politiche agricole, alimentari e forestali",,,"Via XX Settembre 20",,"00187","41.904856","12.494607","+39 0646652163","+39 0646652519","bibliotecastorica@mpaaf.gov.it","http://www.politicheagricole.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/179"
"Roma","Roma","Biblioteca Centrale Giuridica","Specializzata","Ministero della giustizia",,,"Piazza Cavour",,"00193","41.9049767","12.4697336",,"+39 0668834818","bcg@giustizia.it","http://www.giustizia.it/giustizia/it/mg_7.wp"
"Roma","Roma","Biblioteca e Centro di studi dell'Accademia polacca delle scienze","Specializzata","Accademia polacca delle scienze",,,"Vicolo Doria 2",,"00187","41.9103673","12.4547533","+39 066792170","+39 06679408","accadpol@tin.it",
"Roma","Roma","Biblioteca del cinema Umberto Barbaro","Specializzata","Fondazione culturale biblioteca del cinema Umberto Barbaro",,,"Largo 3 giugno 1849",,"00164","41.8873583","12.4583871","+39 0645440708","+39 064870776","cercone@yahoo.it","http://bibliotecadelcinema.it/"
"Roma","Roma","Biblioteca dell'Accademia di Francia","Specializzata","Accademia di Francia a Roma",,,"Viale Trinità dei Monti 1",,"00187","41.907922","12.4825695","+39 066761263","+39 066761305","biblioteca@villamedici.it","http://www.villamedici.it"
"Roma","Roma","Biblioteca dell'Accademia di Romania","Specializzata","Accademia di Romania",,,"Piazza J. de San Martín 1",,"00197","41.9171819","12.4796541","+39 063201594","+39 063216964","accad_romania@hotmail.com","http://www.prom.it/accademia_romania"
"Roma","Roma","Centro nazionale del libro parlato","Pubblica","Unione italiana dei ciechi",,,"Via Borgognona 38",,"00187","41.9045128","12.4802961","+39 0669988360","+39 066786815",,
"Roma","Roma","Biblioteca magistrale laziale Giorgio Gabrielli","Specializzata","Associazione magistrale laziale Giorgio Gabrielli",,,"Via della Palombella 3",,"00186","41.8983371","12.4762513","+39 066867849",,,
"Roma","Roma","Biblioteca dell'Istituto centrale per il catalogo e la documentazione - ICCD","Specializzata","Ministero dei beni e delle attività culturali e del turismo. Istituto centrale per il catalogo e la documentazione",,,"Via di S. Michele 18",,"00153","41.8861155","12.4761942","+39 0658552229",,"ic-cd.biblioteca@beniculturali.it","http://www.iccd.beniculturali.it/index.php?it/101/blioteca"
"Roma","Roma","Biblioteca del Centro ricerche ENEA -  Casaccia","Specializzata","Ente per le nuove tecnologie l'energia e l'ambiente. Centro ricerche energia Casaccia",,,"Via Anguillarese 301","Santa Maria di Galeria","00123","42.0410375","12.3063914","+39 0630483736","+39 0630484267","biblioteca.casaccia@enea.it","biblioteca.casaccia@enea.it"
"Roma","Roma","Biblioteca dell'Istituto di elettronica dello stato solido del Consiglio nazionale delle ricerche","Specializzata","Consiglio nazionale delle ricerche. Istituto di elettronica dello stato solido",,,"Via Cineto Romano 42",,"00156","41.9296277","12.5972277","+39 06415221","+39 0641522220",,
"Montelibretti","Roma","Biblioteca dell'Istituto di cromatografia del Consiglio nazionale delle ricerche","Specializzata","Consiglio nazionale delle ricerche. Istituto di cromatografia",,,"Via Salaria Km. 29,300","Pianabella","00016","42.1354","12.73812","+39 0690625328","+39 0690625849",,
"Montelibretti","Roma","Biblioteca dell'Istituto sull'inquinamento atmosferico del Consiglio nazionale delle ricerche","Specializzata","Consiglio nazionale delle ricerche. Istituto sull'inquinamento atmosferico",,,"Via Salaria Km. 20,300","Pianabella","00016","42.1354","12.73812","+39 0690625349","+39 0690672660",,
"Roma","Roma","Biblioteca dell'Istituto di psicobiologia e psicofarmacologia del Consiglio nazionale delle ricerche","Specializzata","Consiglio nazionale delle ricerche. Istituto di psicobiologia e psicofarmacologia",,,"Via Reno 1",,"00198","41.9189876","12.5046716","+39 0685353772",,,
"Roma","Roma","Biblioteca dell'Istituto di biologia cellulare del Consiglio nazionale delle ricerche","Specializzata","Consiglio nazionale delle ricerche. Istituto di biologia cellulare",,,"Viale K. Marx 43",,"00137","41.9361554","12.5562077","+39 0686090204","+39 068273287",,
"Roma","Roma","Biblioteca dell'Istituto per le applicazioni del calcolo Mauro Picone del Consiglio nazionale delle ricerche","Specializzata","Consiglio nazionale delle ricerche Istituto per le applicazioni del calcolo Mauro Picone",,,"Viale del Policlinico 137",,"00161","41.9087368","12.5061738","+39 06884701","+39 064404306",,
"Roma","Roma","Biblioteca del Centro di studio sulle cause di deperimento e sui metodi di conservazione delle opere d'arte del Consiglio nazionale delle ricerche","Specializzata","Consiglio nazionale delle ricerche. Centro di studio sulle cause di deperimento e sui metodi di conservazione delle opere d'arte",,,"Via di Monte d'Oro 28",,"00186","41.9040636","12.4769393","+39 066878365","+39 066871462",,
